loop-location,icc-parallel,loop-absolute-size,loop-payload-fraction,loop-proper-sccs-number,loop-critical-payload-fraction,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,critical-payload-total-cohesion,critical-payload-non-cf-cohesion,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(393),1,137,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(394),1,125,0.112,1,0.7857,0.05405,0,0,0,36,18,18,36,18,18
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(395),1,113,0.885,1,0.03,0.444,0.02905,0.0303,0.0303,99,98,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(381),1,122,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(382),1,110,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(383),1,98,0.8776,1,0.03488,0.4402,0.02871,0.03529,0.03529,85,84,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(369),1,106,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(370),1,94,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(371),1,82,0.8659,1,0.04225,0.4343,0.02857,0.04286,0.04286,70,69,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(312),1,840,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(313),1,828,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(314),1,816,0.9179,4,0.06142,0.4425,0.03231,0.05589,0.05589,823,781,42,105,63,42
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(202),1,1403,0.0727,1,0.9804,0.001958,0.0003917,0.001357,0.001357,1474,738,736,1472,736,736
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(203),1,828,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(256),1,94,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(265),1,110,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(273),1,137,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(285),1,110,0.1182,1,0.7692,0.05882,0,0,0,32,16,16,32,16,16
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(294),1,94,0.1277,1,0.75,0.06452,0,0,0,28,14,14,28,14,14
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(204),1,816,0.9179,4,0.06142,0.4425,0.03231,0.05589,0.05589,823,781,42,105,63,42
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(257),1,82,0.8659,1,0.04225,0.4343,0.02857,0.04286,0.04286,70,69,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(266),1,98,0.8776,1,0.03488,0.4402,0.02871,0.03529,0.03529,85,84,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(274),1,125,0.112,1,0.7857,0.05405,0,0,0,36,18,18,36,18,18
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(286),1,98,0.8776,1,0.03488,0.4402,0.02871,0.03529,0.03529,85,84,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(295),1,82,0.8659,1,0.04225,0.4343,0.02857,0.04286,0.04286,70,69,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(275),1,113,0.885,1,0.03,0.444,0.02905,0.0303,0.0303,99,98,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(91),1,1379,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(92),1,828,0.07971,1,0.9545,0.008547,0,0,0,244,122,122,244,122,122
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(149),1,196,0,0,0,0,0,0,0,0,0,0,0,0,0
